,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
276,PLATTSBURGH,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,139398.0,NEW YORK
277,ROCHESTER,ROC,ROC,KROC,Greater Rochester International Airport,P-S,1205774.0,NEW YORK
278,SYRACUSE,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,1013149.0,NEW YORK
279,WATERTOWN,ART,ART,KART,Watertown International Airport,P-N,22785.0,NEW YORK
280,WHITE PLAINS,HPN,HPN,KHPN,Westchester County Airport,P-S,759334.0,NEW YORK
282,ASHEVILLE,AVL,AVL,KAVL,Asheville Regional Airport,P-S,416939.0,NORTH CAROLINA
283,CHARLOTTE,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,21511880.0,NORTH CAROLINA
284,CONCORD,JQF,USA,KJQF,Concord Regional Airport,P-N,90338.0,NORTH CAROLINA
285,FAYETTEVILLE,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,224541.0,NORTH CAROLINA
286,GREENSBORO,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,848261.0,NORTH CAROLINA
287,GREENVILLE,PGV,PGV,KPGV,Pitt–Greenville Airport,P-N,47457.0,NORTH CAROLINA
288,JACKSONVILLE,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,149987.0,NORTH CAROLINA
289,NEW BERN,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,106110.0,NORTH CAROLINA
290,RALEIGH,RDU,RDU,KRDU,Raleigh–Durham International Airport,P-M,5401714.0,NORTH CAROLINA
291,WILMINGTON,ILM,ILM,KILM,Wilmington International Airport,P-S,413185.0,NORTH CAROLINA
293,BISMARCK,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,273980.0,NORTH DAKOTA
294,DICKINSON,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,16822.0,NORTH DAKOTA
295,FARGO,FAR,FAR,KFAR,Hector International Airport,P-N,402976.0,NORTH DAKOTA
296,GRAND FORKS,GFK,GFK,KGFK,Grand Forks International Airport,P-N,132557.0,NORTH DAKOTA
297,JAMESTOWN,JMS,JMS,KJMS,Jamestown Regional Airport,P-N,7941.0,NORTH DAKOTA
298,MINOT,MOT,MOT,KMOT,Minot International Airport,P-N,150634.0,NORTH DAKOTA
299,WILLISTON,XWA,XWA,KXWA,Williston Basin International Airport,P-N,68829.0,NORTH DAKOTA
301,AKRON,CAK,CAK,KCAK,Akron–Canton Airport,P-N,685553.0,OHIO
302,CLEVELAND,CLE,CLE,KCLE,Cleveland Hopkins International Airport,P-M,4083476.0,OHIO
303,COLUMBUS,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,3567864.0,OHIO
304,COLUMBUS,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,102751.0,OHIO
305,DAYTON,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,1019922.0,OHIO
306,TOLEDO,TOL,TOL,KTOL,Toledo Express Airport,P-N,92522.0,OHIO
308,LAWTON,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,51088.0,OKLAHOMA
309,OKLAHOMA CITY,OKC,OKC,KOKC,Will Rogers World Airport,P-S,1796473.0,OKLAHOMA
310,STILLWATER,SWO,SWO,KSWO,Stillwater Regional Airport,P-N,10362.0,OKLAHOMA
311,TULSA,TUL,TUL,KTUL,Tulsa International Airport,P-S,1342315.0,OKLAHOMA
313,EUGENE,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-S,483224.0,OREGON
314,MEDFORD,MFR,MFR,KMFR,Rogue Valley International–Medford Airport,P-S,401469.0,OREGON
315,NORTH BEND,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,14719.0,OREGON
316,PORTLAND,PDX,PDX,KPDX,Portland International Airport,P-L,9071154.0,OREGON
317,REDMOND,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,306517.0,OREGON
319,ALLENTOWN,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-N,376769.0,PENNSYLVANIA
320,ERIE,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,95924.0,PENNSYLVANIA
321,HARRISBURG,MDT,MDT,KMDT,Harrisburg International Airport,P-S,636916.0,PENNSYLVANIA
322,LATROBE,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,151704.0,PENNSYLVANIA
323,PHILADELPHIA,PHL,PHL,KPHL,Philadelphia International Airport,P-L,15285948.0,PENNSYLVANIA
324,PITTSBURGH,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,4670954.0,PENNSYLVANIA
325,STATE COLLEGE,UNV,SCE,KUNV,University Park Airport,P-N,153737.0,PENNSYLVANIA
326,WILKES-BARRE,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,258830.0,PENNSYLVANIA
327,WILLIAMSPORT,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,22547.0,PENNSYLVANIA
329,BLOCK ISLAND,BID,BID,KBID,Block Island State Airport,P-N,17225.0,RHODE ISLAND
330,PROVIDENCE,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-S,1803000.0,RHODE ISLAND
331,WESTERLY,WST,WST,KWST,Westerly State Airport,P-N,17218.0,RHODE ISLAND
333,CHARLESTON,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,1811695.0,SOUTH CAROLINA
334,COLUMBIA,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,553658.0,SOUTH CAROLINA
335,FLORENCE,FLO,FLO,KFLO,Florence Regional Airport,P-N,45300.0,SOUTH CAROLINA
336,GREENVILLE,GSP,GSP,KGSP,Greenville–Spartanburg International Airport (Roger Milliken Field),P-S,991276.0,SOUTH CAROLINA
337,HILTON HEAD,HXD,HHH,KHXD,Hilton Head Airport,P-N,30956.0,SOUTH CAROLINA
338,MYRTLE BEACH,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,944849.0,SOUTH CAROLINA
340,ABERDEEN,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,26529.0,SOUTH DAKOTA
341,PIERRE,PIR,PIR,KPIR,Pierre Regional Airport,P-N,8246.0,SOUTH DAKOTA
342,RAPID CITY,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,272537.0,SOUTH DAKOTA
343,SIOUX FALLS,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,510105.0,SOUTH DAKOTA
344,WATERTOWN,ATY,ATY,KATY,Watertown Regional Airport,P-N,2117.0,SOUTH DAKOTA
346,CHATTANOOGA,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-S,422442.0,TENNESSEE
347,KNOXVILLE,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,887103.0,TENNESSEE
348,MEMPHIS,MEM,MEM,KMEM,Memphis International Airport,P-S,2016089.0,TENNESSEE
349,NASHVILLE,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,6338517.0,TENNESSEE
